Site,latitude,longitude,Variety,Year,Variable,Value,Unit
ColliOrientali,44,11,CabernetS,2008,yield,2.54,kg plant-1
ColliOrientali,44,11,CabernetS,2009,yield,1.84,kg plant-1
ColliOrientali,44,11,CabernetS,2010,yield,2.3,kg plant-1
ColliOrientali,44,11,CabernetS,2011,yield,2.33,kg plant-1
ColliOrientali,44,11,CabernetS,2012,yield,2.05,kg plant-1
ColliOrientali,44,11,CabernetS,2013,yield,0.75,kg plant-1
ColliOrientali,44,11,CabernetS,2014,yield,2.4,kg plant-1
ColliOrientali,44,11,CabernetS,2015,yield,2.19,kg plant-1
ColliOrientali,44,11,CabernetS,2016,yield,2.86,kg plant-1
ColliOrientali,44,11,CabernetS,2017,yield,3.48,kg plant-1
ColliOrientali,44,11,CabernetS,2018,yield,3.81,kg plant-1
ColliOrientali,44,11,CabernetS,2019,yield,2.02,kg plant-1
ColliOrientali,44,11,CabernetS,2008,sugar,20.5,Bx
ColliOrientali,44,11,CabernetS,2009,sugar,22.8,Bx
ColliOrientali,44,11,CabernetS,2010,sugar,21.4,Bx
ColliOrientali,44,11,CabernetS,2011,sugar,21.9,Bx
ColliOrientali,44,11,CabernetS,2012,sugar,22.6,Bx
ColliOrientali,44,11,CabernetS,2013,sugar,20.7,Bx
ColliOrientali,44,11,CabernetS,2014,sugar,17.6,Bx
ColliOrientali,44,11,CabernetS,2015,sugar,21.1,Bx
ColliOrientali,44,11,CabernetS,2016,sugar,21.4,Bx
ColliOrientali,44,11,CabernetS,2017,sugar,19,Bx
ColliOrientali,44,11,CabernetS,2018,sugar,20.7,Bx
ColliOrientali,44,11,CabernetS,2019,sugar,21.5,Bx
ColliOrientali,44,11,CabernetS,2020,sugar,20,Bx
ColliOrientali,44,11,CabernetS,2021,sugar,21.7,Bx
ColliOrientali,44,11,CabernetS,2022,sugar,21.9,Bx
ColliOrientali,44,11,CabernetS,2023,sugar,21.6,Bx
ColliOrientali,44,11,CabernetS,2008,acid,9.3,g l-1
ColliOrientali,44,11,CabernetS,2009,acid,6.4,g l-1
ColliOrientali,44,11,CabernetS,2010,acid,9.4,g l-1
ColliOrientali,44,11,CabernetS,2011,acid,5.9,g l-1
ColliOrientali,44,11,CabernetS,2012,acid,6.55,g l-1
ColliOrientali,44,11,CabernetS,2013,acid,6.5,g l-1
ColliOrientali,44,11,CabernetS,2014,acid,10.4,g l-1
ColliOrientali,44,11,CabernetS,2015,acid,6.9,g l-1
ColliOrientali,44,11,CabernetS,2016,acid,6.6,g l-1
ColliOrientali,44,11,CabernetS,2017,acid,7.3,g l-1
ColliOrientali,44,11,CabernetS,2018,acid,5.8,g l-1
ColliOrientali,44,11,CabernetS,2019,acid,6.6,g l-1
ColliOrientali,44,11,CabernetS,2020,acid,7.4,g l-1
ColliOrientali,44,11,CabernetS,2021,acid,6.1,g l-1
ColliOrientali,44,11,CabernetS,2022,acid,5.2,g l-1
ColliOrientali,44,11,CabernetS,2023,acid,5.9,g l-1
ColliOrientali,44,11,CabernetS,1998,anthocians,1954.79,mg l-1
ColliOrientali,44,11,CabernetS,1999,anthocians,2313.83,mg l-1
ColliOrientali,44,11,CabernetS,2000,anthocians,853.72,mg l-1
ColliOrientali,44,11,CabernetS,2003,anthocians,1862.93,mg l-1
ColliOrientali,44,11,CabernetS,2004,anthocians,2181.47,mg l-1
ColliOrientali,44,11,CabernetS,2005,anthocians,1994.68,mg l-1
ColliOrientali,44,11,CabernetS,2006,anthocians,1372.34,mg l-1
ColliOrientali,44,11,CabernetS,2007,anthocians,1515.96,mg l-1
ColliOrientali,44,11,CabernetS,2008,anthocians,1379,mg l-1
ColliOrientali,44,11,CabernetS,2009,anthocians,1515,mg l-1
ColliOrientali,44,11,CabernetS,2010,anthocians,1937,mg l-1
ColliOrientali,44,11,CabernetS,2011,anthocians,1616,mg l-1
ColliOrientali,44,11,CabernetS,2013,anthocians,1196.91,mg l-1
ColliOrientali,44,11,CabernetS,2015,anthocians,1235.52,mg l-1
ColliOrientali,44,11,CabernetS,2016,anthocians,1940.15,mg l-1
ColliOrientali,44,11,CabernetS,2017,anthocians,1409.27,mg l-1
ColliOrientali,44,11,CabernetS,2018,anthocians,1467.18,mg l-1
ColliOrientali,44,11,CabernetS,2019,anthocians,1370.66,mg l-1
ColliOrientali,44,11,CabernetS,2020,anthocians,1206.56,mg l-1
ColliOrientali,44,11,CabernetS,2021,anthocians,2075.29,mg l-1
ColliOrientali,44,11,CabernetS,2022,anthocians,1158.3,mg l-1
ColliOrientali,44,11,CabernetS,2023,anthocians,960,mg l-1
ColliOrientali,44,11,CabernetS,2024,anthocians,1550,mg l-1
ColliOrientali,44,11,Carmenere,2006,bunchNo,21,number
ColliOrientali,44,11,Carmenere,2007,bunchNo,21,number
ColliOrientali,44,11,Carmenere,2008,bunchNo,15,number
ColliOrientali,44,11,Carmenere,2009,bunchNo,9,number
ColliOrientali,44,11,Carmenere,2010,bunchNo,10,number
ColliOrientali,44,11,Carmenere,2011,bunchNo,14,number
ColliOrientali,44,11,Carmenere,2012,bunchNo,11,number
ColliOrientali,44,11,Carmenere,2013,bunchNo,7,number
ColliOrientali,44,11,Carmenere,2014,bunchNo,9,number
ColliOrientali,44,11,Carmenere,2015,bunchNo,10,number
ColliOrientali,44,11,Carmenere,2016,bunchNo,11,number
ColliOrientali,44,11,Carmenere,2017,bunchNo,11,number
ColliOrientali,44,11,Carmenere,2018,bunchNo,15,number
ColliOrientali,44,11,Carmenere,2019,bunchNo,14,number
ColliOrientali,44,11,Carmenere,2006,berriesNo,72,number
ColliOrientali,44,11,Carmenere,2007,berriesNo,83,number
ColliOrientali,44,11,Carmenere,2008,berriesNo,97,number
ColliOrientali,44,11,Carmenere,2009,berriesNo,130,number
ColliOrientali,44,11,Carmenere,2010,berriesNo,84,number
ColliOrientali,44,11,Carmenere,2011,berriesNo,159,number
ColliOrientali,44,11,Carmenere,2012,berriesNo,106,number
ColliOrientali,44,11,Carmenere,2013,berriesNo,106,number
ColliOrientali,44,11,Carmenere,2014,berriesNo,95,number
ColliOrientali,44,11,Carmenere,2015,berriesNo,112,number
ColliOrientali,44,11,Carmenere,2016,berriesNo,82,number
ColliOrientali,44,11,Carmenere,2017,berriesNo,105,number
ColliOrientali,44,11,Carmenere,2018,berriesNo,109,number
ColliOrientali,44,11,Carmenere,2019,berriesNo,102,number
ColliOrientali,44,11,Carmenere,2020,berriesNo,96,number
ColliOrientali,44,11,Carmenere,2021,berriesNo,100,number
ColliOrientali,44,11,Carmenere,2022,berriesNo,115,number
ColliOrientali,44,11,Carmenere,2023,berriesNo,82,number
ColliOrientali,44,11,Carmenere,2024,berriesNo,75,number
ColliOrientali,44,11,Carmenere,2006,berryWeight,1.57,g
ColliOrientali,44,11,Carmenere,2007,berryWeight,1.58,g
ColliOrientali,44,11,Carmenere,2008,berryWeight,1.37,g
ColliOrientali,44,11,Carmenere,2009,berryWeight,1.85,g
ColliOrientali,44,11,Carmenere,2010,berryWeight,1.95,g
ColliOrientali,44,11,Carmenere,2011,berryWeight,1.09,g
ColliOrientali,44,11,Carmenere,2012,berryWeight,1.28,g
ColliOrientali,44,11,Carmenere,2013,berryWeight,1.08,g
ColliOrientali,44,11,Carmenere,2014,berryWeight,1.65,g
ColliOrientali,44,11,Carmenere,2015,berryWeight,1.67,g
ColliOrientali,44,11,Carmenere,2016,berryWeight,1.38,g
ColliOrientali,44,11,Carmenere,2017,berryWeight,1.64,g
ColliOrientali,44,11,Carmenere,2018,berryWeight,1.85,g
ColliOrientali,44,11,Carmenere,2019,berryWeight,1.52,g
ColliOrientali,44,11,Carmenere,2020,berryWeight,1.9,g
ColliOrientali,44,11,Carmenere,2021,berryWeight,1.55,g
ColliOrientali,44,11,Carmenere,2022,berryWeight,1.7,g
ColliOrientali,44,11,Carmenere,2023,berryWeight,1.52,g
ColliOrientali,44,11,Carmenere,2024,berryWeight,1.72,g
ColliOrientali,44,11,Carmenere,2006,yield,2.37,kg plant-1
ColliOrientali,44,11,Carmenere,2007,yield,2.75,kg plant-1
ColliOrientali,44,11,Carmenere,2008,yield,1.99,kg plant-1
ColliOrientali,44,11,Carmenere,2009,yield,2.16,kg plant-1
ColliOrientali,44,11,Carmenere,2010,yield,1.64,kg plant-1
ColliOrientali,44,11,Carmenere,2011,yield,2.43,kg plant-1
ColliOrientali,44,11,Carmenere,2012,yield,1.49,kg plant-1
ColliOrientali,44,11,Carmenere,2013,yield,0.8,kg plant-1
ColliOrientali,44,11,Carmenere,2014,yield,1.41,kg plant-1
ColliOrientali,44,11,Carmenere,2015,yield,1.87,kg plant-1
ColliOrientali,44,11,Carmenere,2016,yield,1.24,kg plant-1
ColliOrientali,44,11,Carmenere,2017,yield,1.89,kg plant-1
ColliOrientali,44,11,Carmenere,2018,yield,3.02,kg plant-1
ColliOrientali,44,11,Carmenere,2019,yield,2.17,kg plant-1
ColliOrientali,44,11,Carmenere,2008,sugar,20,Bx
ColliOrientali,44,11,Carmenere,2009,sugar,21.5,Bx
ColliOrientali,44,11,Carmenere,2010,sugar,20.6,Bx
ColliOrientali,44,11,Carmenere,2011,sugar,21,Bx
ColliOrientali,44,11,Carmenere,2013,sugar,20.7,Bx
ColliOrientali,44,11,Carmenere,2014,sugar,18.1,Bx
ColliOrientali,44,11,Carmenere,2015,sugar,19.7,Bx
ColliOrientali,44,11,Carmenere,2016,sugar,21.4,Bx
ColliOrientali,44,11,Carmenere,2017,sugar,17.7,Bx
ColliOrientali,44,11,Carmenere,2018,sugar,20.9,Bx
ColliOrientali,44,11,Carmenere,2019,sugar,21.2,Bx
ColliOrientali,44,11,Carmenere,2020,sugar,19.8,Bx
ColliOrientali,44,11,Carmenere,2021,sugar,21.7,Bx
ColliOrientali,44,11,Carmenere,2022,sugar,20.8,Bx
ColliOrientali,44,11,Carmenere,2023,sugar,21.2,Bx
ColliOrientali,44,11,Carmenere,2008,acid,6.7,g l-1
ColliOrientali,44,11,Carmenere,2009,acid,4.8,g l-1
ColliOrientali,44,11,Carmenere,2010,acid,5.9,g l-1
ColliOrientali,44,11,Carmenere,2011,acid,4.9,g l-1
ColliOrientali,44,11,Carmenere,2013,acid,4.9,g l-1
ColliOrientali,44,11,Carmenere,2014,acid,7.2,g l-1
ColliOrientali,44,11,Carmenere,2015,acid,4.4,g l-1
ColliOrientali,44,11,Carmenere,2016,acid,4.5,g l-1
ColliOrientali,44,11,Carmenere,2017,acid,5.4,g l-1
ColliOrientali,44,11,Carmenere,2018,acid,4.1,g l-1
ColliOrientali,44,11,Carmenere,2019,acid,4.7,g l-1
ColliOrientali,44,11,Carmenere,2020,acid,4.6,g l-1
ColliOrientali,44,11,Carmenere,2021,acid,4.2,g l-1
ColliOrientali,44,11,Carmenere,2022,acid,3.8,g l-1
ColliOrientali,44,11,Carmenere,2023,acid,4.9,g l-1
ColliOrientali,44,11,Carmenere,2003,anthocians,1717.63,mg l-1
ColliOrientali,44,11,Carmenere,2004,anthocians,2113.31,mg l-1
ColliOrientali,44,11,Carmenere,2005,anthocians,807.98,mg l-1
ColliOrientali,44,11,Carmenere,2006,anthocians,1564.99,mg l-1
ColliOrientali,44,11,Carmenere,2007,anthocians,1326.26,mg l-1
ColliOrientali,44,11,Carmenere,2008,anthocians,1656,mg l-1
ColliOrientali,44,11,Carmenere,2009,anthocians,1319,mg l-1
ColliOrientali,44,11,Carmenere,2010,anthocians,2063,mg l-1
ColliOrientali,44,11,Carmenere,2011,anthocians,1603,mg l-1
ColliOrientali,44,11,Carmenere,2013,anthocians,1387.83,mg l-1
ColliOrientali,44,11,Carmenere,2015,anthocians,1815.59,mg l-1
ColliOrientali,44,11,Carmenere,2016,anthocians,1416.35,mg l-1
ColliOrientali,44,11,Carmenere,2017,anthocians,1929.66,mg l-1
ColliOrientali,44,11,Carmenere,2018,anthocians,1045.63,mg l-1
ColliOrientali,44,11,Carmenere,2019,anthocians,2300.38,mg l-1
ColliOrientali,44,11,Carmenere,2020,anthocians,2328.9,mg l-1
ColliOrientali,44,11,Carmenere,2021,anthocians,2433.46,mg l-1
ColliOrientali,44,11,Carmenere,2022,anthocians,1416.35,mg l-1
ColliOrientali,44,11,Carmenere,2023,anthocians,1406,mg l-1
ColliOrientali,44,11,Carmenere,2024,anthocians,1550,mg l-1
ColliOrientali,44,11,Merlot,2006,bunchNo,15,number
ColliOrientali,44,11,Merlot,2007,bunchNo,18,number
ColliOrientali,44,11,Merlot,2008,bunchNo,10,number
ColliOrientali,44,11,Merlot,2009,bunchNo,14,number
ColliOrientali,44,11,Merlot,2010,bunchNo,15,number
ColliOrientali,44,11,Merlot,2011,bunchNo,10,number
ColliOrientali,44,11,Merlot,2012,bunchNo,14,number
ColliOrientali,44,11,Merlot,2013,bunchNo,7,number
